driverID,carPlateNumber,isOverspeed,Speed,Time
xiezhi1000006,华A6CU11,,99,2017-01-04T16:00:00.000+08:00
xiezhi1000006,华A6CU11,,85,2017-01-04T16:00:10.000+08:00
xiezhi1000006,华A6CU11,1,139,2017-01-04T16:00:12.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-04T16:00:18.000+08:00
xiezhi1000006,华A6CU11,,78,2017-01-04T16:00:20.000+08:00
xiezhi1000006,华A6CU11,,83,2017-01-04T16:00:30.000+08:00
xiezhi1000006,华A6CU11,,66,2017-01-04T16:00:40.000+08:00
xiezhi1000006,华A6CU11,,115,2017-01-04T16:00:42.000+08:00
xiezhi1000006,华A6CU11,,64,2017-01-04T16:00:50.000+08:00
xiezhi1000006,华A6CU11,,84,2017-01-04T16:01:00.000+08:00
xiezhi1000006,华A6CU11,1,122,2017-01-04T16:01:06.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-04T16:01:07.000+08:00
xiezhi1000006,华A6CU11,,93,2017-01-04T16:01:10.000+08:00
xiezhi1000006,华A6CU11,,104,2017-01-04T16:01:20.000+08:00
xiezhi1000006,华A6CU11,,102,2017-01-04T16:01:30.000+08:00
xiezhi1000006,华A6CU11,,91,2017-01-04T16:01:40.000+08:00
xiezhi1000006,华A6CU11,,80,2017-01-04T16:01:50.000+08:00
xiezhi1000006,华A6CU11,,71,2017-01-04T16:02:00.000+08:00
xiezhi1000006,华A6CU11,,109,2017-01-04T16:02:10.000+08:00
xiezhi1000006,华A6CU11,,97,2017-01-04T16:02:20.000+08:00
xiezhi1000006,华A6CU11,,0,2017-01-04T16:02:28.000+08:00
xiezhi1000006,华A6CU11,,2,2017-01-04T16:02:29.000+08:00
xiezhi1000006,华A6CU11,,96,2017-01-04T16:02:29.000+08:00
xiezhi1000006,华A6CU11,,106,2017-01-04T16:02:30.000+08:00
xiezhi1000006,华A6CU11,,71,2017-01-04T16:02:40.000+08:00
xiezhi1000006,华A6CU11,,80,2017-01-04T16:02:50.000+08:00
xiezhi1000006,华A6CU11,,114,2017-01-04T16:03:00.000+08:00
xiezhi1000006,华A6CU11,,94,2017-01-04T16:03:10.000+08:00
xiezhi1000006,华A6CU11,,100,2017-01-04T16:03:20.000+08:00
xiezhi1000006,华A6CU11,,109,2017-01-04T16:03:30.000+08:00
xiezhi1000006,华A6CU11,,67,2017-01-04T16:03:40.000+08:00
xiezhi1000006,华A6CU11,,63,2017-01-04T16:03:50.000+08:00
xiezhi1000006,华A6CU11,,87,2017-01-04T16:04:00.000+08:00
xiezhi1000006,华A6CU11,,75,2017-01-04T16:04:10.000+08:00
xiezhi1000006,华A6CU11,,112,2017-01-04T16:04:20.000+08:00
xiezhi1000006,华A6CU11,,64,2017-01-04T16:04:30.000+08:00
xiezhi1000006,华A6CU11,,85,2017-01-04T16:04:40.000+08:00
xiezhi1000006,华A6CU11,,93,2017-01-04T16:04:50.000+08:00
xiezhi1000006,华A6CU11,,105,2017-01-04T16:05:00.000+08:00
xiezhi1000006,华A6CU11,1,147,2017-01-04T16:05:07.000+08:00
xiezhi1000006,华A6CU11,,124,2017-01-04T16:05:10.000+08:00
xiezhi1000006,华A6CU11,,145,2017-01-04T16:05:20.000+08:00
xiezhi1000006,华A6CU11,,136,2017-01-04T16:05:30.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-04T16:05:31.000+08:00
xiezhi1000006,华A6CU11,,65,2017-01-04T16:05:40.000+08:00
xiezhi1000006,华A6CU11,,82,2017-01-04T16:05:50.000+08:00
xiezhi1000006,华A6CU11,,77,2017-01-04T16:05:55.000+08:00
xiezhi1000006,华A6CU11,,106,2017-01-04T16:06:00.000+08:00
xiezhi1000006,华A6CU11,,95,2017-01-04T16:06:10.000+08:00
xiezhi1000006,华A6CU11,,111,2017-01-04T16:06:20.000+08:00
xiezhi1000006,华A6CU11,,106,2017-01-04T16:06:30.000+08:00
xiezhi1000006,华A6CU11,,99,2017-01-04T16:06:40.000+08:00
xiezhi1000006,华A6CU11,,104,2017-01-04T16:06:50.000+08:00
xiezhi1000006,华A6CU11,,83,2017-01-04T16:07:00.000+08:00
xiezhi1000006,华A6CU11,,104,2017-01-04T16:07:10.000+08:00
xiezhi1000006,华A6CU11,,85,2017-01-04T16:07:20.000+08:00
xiezhi1000006,华A6CU11,,98,2017-01-04T16:07:30.000+08:00
xiezhi1000006,华A6CU11,,69,2017-01-04T16:07:40.000+08:00
xiezhi1000006,华A6CU11,,74,2017-01-04T16:07:42.000+08:00
xiezhi1000006,华A6CU11,,93,2017-01-04T16:07:50.000+08:00
xiezhi1000006,华A6CU11,,114,2017-01-04T16:08:00.000+08:00
xiezhi1000006,华A6CU11,,73,2017-01-04T16:08:10.000+08:00
xiezhi1000006,华A6CU11,,86,2017-01-04T16:08:20.000+08:00
xiezhi1000006,华A6CU11,,81,2017-01-04T16:08:30.000+08:00
xiezhi1000006,华A6CU11,,72,2017-01-04T16:08:37.000+08:00
xiezhi1000006,华A6CU11,,61,2017-01-04T16:08:40.000+08:00
xiezhi1000006,华A6CU11,,70,2017-01-04T16:08:50.000+08:00
xiezhi1000006,华A6CU11,,97,2017-01-04T16:09:00.000+08:00
xiezhi1000006,华A6CU11,,78,2017-01-04T16:09:00.000+08:00
xiezhi1000006,华A6CU11,,93,2017-01-04T16:09:10.000+08:00
xiezhi1000006,华A6CU11,,103,2017-01-04T16:09:17.000+08:00
xiezhi1000006,华A6CU11,,81,2017-01-04T16:09:20.000+08:00
xiezhi1000006,华A6CU11,,109,2017-01-04T16:09:30.000+08:00
xiezhi1000006,华A6CU11,,70,2017-01-04T16:09:40.000+08:00
xiezhi1000006,华A6CU11,,11,2017-01-04T16:09:47.000+08:00
xiezhi1000006,华A6CU11,,3,2017-01-04T16:09:48.000+08:00
xiezhi1000006,华A6CU11,,90,2017-01-04T16:09:50.000+08:00
xiezhi1000006,华A6CU11,,111,2017-01-04T16:10:00.000+08:00
xiezhi1000006,华A6CU11,,75,2017-01-04T16:10:10.000+08:00
xiezhi1000006,华A6CU11,,109,2017-01-04T16:10:20.000+08:00
xiezhi1000006,华A6CU11,,61,2017-01-04T16:10:30.000+08:00
xiezhi1000006,华A6CU11,,66,2017-01-04T16:10:35.000+08:00
xiezhi1000006,华A6CU11,,98,2017-01-04T16:10:36.000+08:00
xiezhi1000006,华A6CU11,,65,2017-01-04T16:10:40.000+08:00
xiezhi1000006,华A6CU11,,100,2017-01-04T16:10:50.000+08:00
xiezhi1000006,华A6CU11,,98,2017-01-04T16:11:00.000+08:00
xiezhi1000006,华A6CU11,,75,2017-01-04T16:11:10.000+08:00
xiezhi1000006,华A6CU11,1,133,2017-01-04T16:11:17.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-04T16:11:18.000+08:00
xiezhi1000006,华A6CU11,,83,2017-01-04T16:11:20.000+08:00
xiezhi1000006,华A6CU11,,102,2017-01-04T16:11:30.000+08:00
xiezhi1000006,华A6CU11,,77,2017-01-04T16:11:40.000+08:00
xiezhi1000006,华A6CU11,,82,2017-01-04T16:11:49.000+08:00
xiezhi1000006,华A6CU11,,79,2017-01-04T16:11:50.000+08:00
xiezhi1000006,华A6CU11,,60,2017-01-04T16:12:00.000+08:00
xiezhi1000006,华A6CU11,1,131,2017-01-04T16:12:01.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-04T16:12:08.000+08:00
xiezhi1000006,华A6CU11,,76,2017-01-04T16:12:10.000+08:00
xiezhi1000006,华A6CU11,,87,2017-01-04T16:12:20.000+08:00
xiezhi1000006,华A6CU11,,80,2017-01-04T16:12:30.000+08:00
xiezhi1000006,华A6CU11,,61,2017-01-04T16:12:40.000+08:00
xiezhi1000006,华A6CU11,,112,2017-01-04T16:12:50.000+08:00
xiezhi1000006,华A6CU11,,63,2017-01-04T16:13:00.000+08:00
xiezhi1000006,华A6CU11,,90,2017-01-04T16:13:10.000+08:00
xiezhi1000006,华A6CU11,,87,2017-01-04T16:13:20.000+08:00
xiezhi1000006,华A6CU11,,106,2017-01-04T16:13:30.000+08:00
xiezhi1000006,华A6CU11,,80,2017-01-04T16:13:40.000+08:00
xiezhi1000006,华A6CU11,,81,2017-01-04T16:13:42.000+08:00
xiezhi1000006,华A6CU11,,112,2017-01-04T16:13:50.000+08:00
xiezhi1000006,华A6CU11,,106,2017-01-04T16:13:53.000+08:00
xiezhi1000006,华A6CU11,,104,2017-01-04T16:14:00.000+08:00
xiezhi1000006,华A6CU11,,81,2017-01-04T16:14:10.000+08:00
xiezhi1000006,华A6CU11,,92,2017-01-04T16:14:20.000+08:00
xiezhi1000006,华A6CU11,1,124,2017-01-04T16:14:20.000+08:00
xiezhi1000006,华A6CU11,,120,2017-01-04T16:14:21.000+08:00
xiezhi1000006,华A6CU11,,71,2017-01-04T16:14:30.000+08:00
xiezhi1000006,华A6CU11,,72,2017-01-04T16:14:40.000+08:00
xiezhi1000006,华A6CU11,,69,2017-01-04T16:14:50.000+08:00
xiezhi1000006,华A6CU11,,60,2017-01-04T16:15:00.000+08:00
xiezhi1000006,华A6CU11,,115,2017-01-04T16:15:10.000+08:00
xiezhi1000006,华A6CU11,,72,2017-01-04T16:15:20.000+08:00
xiezhi1000006,华A6CU11,,105,2017-01-04T16:15:30.000+08:00
