driverID,carPlateNumber,isOverspeed,Speed,Time
xiezhi1000006,华A6CU11,,99,2017-01-04
xiezhi1000006,华A6CU11,,85,2017-01-04
xiezhi1000006,华A6CU11,1,139,2017-01-04
xiezhi1000006,华A6CU11,,120,2017-01-04
xiezhi1000006,华A6CU11,,78,2017-01-04
xiezhi1000006,华A6CU11,,83,2017-01-04
xiezhi1000006,华A6CU11,,66,2017-01-04
xiezhi1000006,华A6CU11,,115,2017-01-04
xiezhi1000006,华A6CU11,,64,2017-01-04
xiezhi1000006,华A6CU11,,84,2017-01-04
xiezhi1000006,华A6CU11,1,122,2017-01-04
xiezhi1000006,华A6CU11,,120,2017-01-04
xiezhi1000006,华A6CU11,,93,2017-01-04
xiezhi1000006,华A6CU11,,104,2017-01-04
xiezhi1000006,华A6CU11,,102,2017-01-04
xiezhi1000006,华A6CU11,,91,2017-01-04
xiezhi1000006,华A6CU11,,80,2017-01-04
xiezhi1000006,华A6CU11,,71,2017-01-04
xiezhi1000006,华A6CU11,,109,2017-01-04
xiezhi1000006,华A6CU11,,97,2017-01-04
xiezhi1000006,华A6CU11,,0,2017-01-04
xiezhi1000006,华A6CU11,,2,2017-01-04
xiezhi1000006,华A6CU11,,96,2017-01-04
xiezhi1000006,华A6CU11,,106,2017-01-04
xiezhi1000006,华A6CU11,,71,2017-01-04
xiezhi1000006,华A6CU11,,80,2017-01-04
xiezhi1000006,华A6CU11,,114,2017-01-04
xiezhi1000006,华A6CU11,,94,2017-01-04
xiezhi1000006,华A6CU11,,100,2017-01-04
xiezhi1000006,华A6CU11,,109,2017-01-04
xiezhi1000006,华A6CU11,,67,2017-01-04
xiezhi1000006,华A6CU11,,63,2017-01-04
xiezhi1000006,华A6CU11,,87,2017-01-04
xiezhi1000006,华A6CU11,,75,2017-01-04
xiezhi1000006,华A6CU11,,112,2017-01-04
xiezhi1000006,华A6CU11,,64,2017-01-04
xiezhi1000006,华A6CU11,,85,2017-01-04
xiezhi1000006,华A6CU11,,93,2017-01-04
xiezhi1000006,华A6CU11,,105,2017-01-04
xiezhi1000006,华A6CU11,1,147,2017-01-04
xiezhi1000006,华A6CU11,,124,2017-01-04
xiezhi1000006,华A6CU11,,145,2017-01-04
xiezhi1000006,华A6CU11,,136,2017-01-04
xiezhi1000006,华A6CU11,,120,2017-01-04
xiezhi1000006,华A6CU11,,65,2017-01-04
xiezhi1000006,华A6CU11,,82,2017-01-04
xiezhi1000006,华A6CU11,,77,2017-01-04
xiezhi1000006,华A6CU11,,106,2017-01-04
xiezhi1000006,华A6CU11,,95,2017-01-04
xiezhi1000006,华A6CU11,,111,2017-01-04
xiezhi1000006,华A6CU11,,106,2017-01-04
xiezhi1000006,华A6CU11,,99,2017-01-04
xiezhi1000006,华A6CU11,,104,2017-01-04
xiezhi1000006,华A6CU11,,83,2017-01-04
xiezhi1000006,华A6CU11,,104,2017-01-04
xiezhi1000006,华A6CU11,,85,2017-01-04
xiezhi1000006,华A6CU11,,98,2017-01-04
xiezhi1000006,华A6CU11,,69,2017-01-04
xiezhi1000006,华A6CU11,,74,2017-01-04
xiezhi1000006,华A6CU11,,93,2017-01-04
xiezhi1000006,华A6CU11,,114,2017-01-04
xiezhi1000006,华A6CU11,,73,2017-01-04
xiezhi1000006,华A6CU11,,86,2017-01-04
xiezhi1000006,华A6CU11,,81,2017-01-04
xiezhi1000006,华A6CU11,,72,2017-01-04
xiezhi1000006,华A6CU11,,61,2017-01-04
xiezhi1000006,华A6CU11,,70,2017-01-04
xiezhi1000006,华A6CU11,,97,2017-01-04
xiezhi1000006,华A6CU11,,78,2017-01-04
xiezhi1000006,华A6CU11,,93,2017-01-04
