driverID,carPlateNumber,isOverspeed,Speed,speed_time
shenxian1000004,华ADJ750,,84,2017-01-06T08:00:10.000
shenxian1000004,华ADJ750,,86,2017-01-06T08:00:20.000
shenxian1000004,华ADJ750,,101,2017-01-06T08:00:30.000
shenxian1000004,华ADJ750,,81,2017-01-06T08:00:40.000
shenxian1000004,华ADJ750,,62,2017-01-06T08:00:50.000
shenxian1000004,华ADJ750,,100,2017-01-06T08:01:00.000
shenxian1000004,华ADJ750,,99,2017-01-06T08:01:10.000
shenxian1000004,华ADJ750,,68,2017-01-06T08:01:20.000
shenxian1000004,华ADJ750,,90,2017-01-06T08:01:30.000
shenxian1000004,华ADJ750,,110,2017-01-06T08:01:38.000
shenxian1000004,华ADJ750,,62,2017-01-06T08:01:40.000
shenxian1000004,华ADJ750,1,124,2017-01-06T08:01:46.000
shenxian1000004,华ADJ750,,120,2017-01-06T08:01:46.000
shenxian1000004,华ADJ750,,67,2017-01-06T08:01:50.000
shenxian1000004,华ADJ750,1,140,2017-01-06T08:01:59.000
shenxian1000004,华ADJ750,,120,2017-01-06T08:01:59.000
shenxian1000004,华ADJ750,,96,2017-01-06T08:02:00.000
shenxian1000004,华ADJ750,,103,2017-01-06T08:02:10.000
shenxian1000004,华ADJ750,,87,2017-01-06T08:02:20.000
shenxian1000004,华ADJ750,,77,2017-01-06T08:02:30.000
shenxian1000004,华ADJ750,,94,2017-01-06T08:02:40.000
shenxian1000004,华ADJ750,,101,2017-01-06T08:02:50.000
shenxian1000004,华ADJ750,,71,2017-01-06T08:03:00.000
shenxian1000004,华ADJ750,,84,2017-01-06T08:03:10.000
shenxian1000004,华ADJ750,,118,2017-01-06T08:03:20.000
shenxian1000004,华ADJ750,1,125,2017-01-06T08:03:23.000
shenxian1000004,华ADJ750,,120,2017-01-06T08:03:29.000
shenxian1000004,华ADJ750,,114,2017-01-06T08:03:30.000
shenxian1000004,华ADJ750,,99,2017-01-06T08:03:40.000
shenxian1000004,华ADJ750,,79,2017-01-06T08:03:50.000
shenxian1000004,华ADJ750,,77,2017-01-06T08:04:00.000
shenxian1000004,华ADJ750,,66,2017-01-06T08:04:10.000
shenxian1000004,华ADJ750,,117,2017-01-06T08:04:20.000
shenxian1000004,华ADJ750,,108,2017-01-06T08:04:30.000
shenxian1000004,华ADJ750,,74,2017-01-06T08:04:40.000
shenxian1000004,华ADJ750,,100,2017-01-06T08:04:50.000
shenxian1000004,华ADJ750,,108,2017-01-06T08:05:00.000
shenxian1000004,华ADJ750,,72,2017-01-06T08:05:10.000
shenxian1000004,华ADJ750,,89,2017-01-06T08:05:17.000
shenxian1000004,华ADJ750,,74,2017-01-06T08:05:20.000
shenxian1000004,华ADJ750,,72,2017-01-06T08:05:30.000
shenxian1000004,华ADJ750,,103,2017-01-06T08:05:40.000
shenxian1000004,华ADJ750,,101,2017-01-06T08:05:44.000
shenxian1000004,华ADJ750,,98,2017-01-06T08:05:50.000
shenxian1000004,华ADJ750,,82,2017-01-06T08:06:00.000
shenxian1000004,华ADJ750,,110,2017-01-06T08:06:10.000
shenxian1000004,华ADJ750,,60,2017-01-06T08:06:20.000
shenxian1000004,华ADJ750,,65,2017-01-06T08:06:30.000
shenxian1000004,华ADJ750,,116,2017-01-06T08:06:40.000
shenxian1000004,华ADJ750,,106,2017-01-06T08:06:50.000
shenxian1000004,华ADJ750,,66,2017-01-06T08:07:00.000
shenxian1000004,华ADJ750,,101,2017-01-06T08:07:10.000
shenxian1000004,华ADJ750,,96,2017-01-06T08:07:20.000
shenxian1000004,华ADJ750,1,144,2017-01-06T08:07:25.000
shenxian1000004,华ADJ750,,120,2017-01-06T08:07:27.000
shenxian1000004,华ADJ750,1,125,2017-01-06T08:07:29.000
shenxian1000004,华ADJ750,,120,2017-01-06T08:07:29.000
shenxian1000004,华ADJ750,,76,2017-01-06T08:07:30.000
shenxian1000004,华ADJ750,,83,2017-01-06T08:07:34.000
shenxian1000004,华ADJ750,,113,2017-01-06T08:07:40.000
shenxian1000004,华ADJ750,,118,2017-01-06T08:07:50.000
shenxian1000004,华ADJ750,,108,2017-01-06T08:08:00.000
shenxian1000004,华ADJ750,,87,2017-01-06T08:08:10.000
shenxian1000004,华ADJ750,,63,2017-01-06T08:08:20.000
shenxian1000004,华ADJ750,,110,2017-01-06T08:08:30.000
shenxian1000004,华ADJ750,,67,2017-01-06T08:08:40.000
shenxian1000004,华ADJ750,,72,2017-01-06T08:08:50.000
shenxian1000004,华ADJ750,,102,2017-01-06T08:09:00.000
shenxian1000004,华ADJ750,,76,2017-01-06T08:09:02.000
shenxian1000004,华ADJ750,,111,2017-01-06T08:09:10.000
shenxian1000004,华ADJ750,,72,2017-01-06T08:09:20.000
shenxian1000004,华ADJ750,,109,2017-01-06T08:09:30.000
shenxian1000004,华ADJ750,,93,2017-01-06T08:09:40.000
shenxian1000004,华ADJ750,,103,2017-01-06T08:09:50.000
shenxian1000004,华ADJ750,,112,2017-01-06T08:10:00.000
shenxian1000004,华ADJ750,,75,2017-01-06T08:10:10.000
shenxian1000004,华ADJ750,,88,2017-01-06T08:10:20.000
shenxian1000004,华ADJ750,,99,2017-01-06T08:10:30.000
shenxian1000004,华ADJ750,,91,2017-01-06T08:10:40.000
shenxian1000004,华ADJ750,,118,2017-01-06T08:10:50.000
shenxian1000004,华ADJ750,,93,2017-01-06T08:11:00.000
shenxian1000004,华ADJ750,,99,2017-01-06T08:11:10.000
shenxian1000004,华ADJ750,,1,2017-01-06T08:11:16.000
shenxian1000004,华ADJ750,,2,2017-01-06T08:11:20.000
shenxian1000004,华ADJ750,,10,2017-01-06T08:11:30.000
shenxian1000004,华ADJ750,,5,2017-01-06T08:11:40.000
shenxian1000004,华ADJ750,,8,2017-01-06T08:11:47.000
shenxian1000004,华ADJ750,,63,2017-01-06T08:11:50.000
shenxian1000004,华ADJ750,,113,2017-01-06T08:12:00.000
shenxian1000004,华ADJ750,1,144,2017-01-06T08:12:09.000
shenxian1000004,华ADJ750,,123,2017-01-06T08:12:10.000
shenxian1000004,华ADJ750,,128,2017-01-06T08:12:20.000
shenxian1000004,华ADJ750,,139,2017-01-06T08:12:30.000
shenxian1000004,华ADJ750,,120,2017-01-06T08:12:35.000
shenxian1000004,华ADJ750,,119,2017-01-06T08:12:40.000
shenxian1000004,华ADJ750,,61,2017-01-06T08:12:42.000
shenxian1000004,华ADJ750,,109,2017-01-06T08:12:50.000
shenxian1000004,华ADJ750,,66,2017-01-06T08:13:00.000
shenxian1000004,华ADJ750,,93,2017-01-06T08:13:10.000
shenxian1000004,华ADJ750,,107,2017-01-06T08:13:20.000
shenxian1000004,华ADJ750,,114,2017-01-06T08:13:30.000
shenxian1000004,华ADJ750,,94,2017-01-06T08:13:40.000
shenxian1000004,华ADJ750,,113,2017-01-06T08:13:50.000
shenxian1000004,华ADJ750,,76,2017-01-06T08:14:00.000
shenxian1000004,华ADJ750,,67,2017-01-06T08:14:10.000
shenxian1000004,华ADJ750,,79,2017-01-06T08:14:20.000
shenxian1000004,华ADJ750,,87,2017-01-06T08:14:20.000
shenxian1000004,华ADJ750,,80,2017-01-06T08:14:30.000
shenxian1000004,华ADJ750,,64,2017-01-06T08:14:40.000
shenxian1000004,华ADJ750,,112,2017-01-06T08:14:50.000
shenxian1000004,华ADJ750,,92,2017-01-06T08:15:00.000
shenxian1000004,华ADJ750,,109,2017-01-06T08:15:10.000
shenxian1000004,华ADJ750,,74,2017-01-06T08:15:20.000
shenxian1000004,华ADJ750,,77,2017-01-06T08:15:30.000
shenxian1000004,华ADJ750,,111,2017-01-06T08:15:40.000
shenxian1000004,华ADJ750,,112,2017-01-06T08:15:50.000
shenxian1000004,华ADJ750,1,148,2017-01-06T08:15:51.000
shenxian1000004,华ADJ750,,120,2017-01-06T08:15:53.000
shenxian1000004,华ADJ750,,64,2017-01-06T08:16:00.000
shenxian1000004,华ADJ750,,62,2017-01-06T08:16:10.000
shenxian1000004,华ADJ750,,116,2017-01-06T08:16:20.000
shenxian1000004,华ADJ750,,119,2017-01-06T08:16:30.000
shenxian1000004,华ADJ750,,79,2017-01-06T08:16:40.000
shenxian1000004,华ADJ750,,90,2017-01-06T08:16:50.000
shenxian1000004,华ADJ750,,71,2017-01-06T08:17:00.000
shenxian1000004,华ADJ750,,110,2017-01-06T08:17:10.000
shenxian1000004,华ADJ750,1,126,2017-01-06T08:17:13.000
